name,image,url,price
Bulbasaur,https://scrapeme.live/wp-content/uploads/2018/08/001-350x350.png,https://scrapeme.live/shop/Bulbasaur/,£63.00
Ivysaur,https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png,https://scrapeme.live/shop/Ivysaur/,£87.00
Venusaur,https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png,https://scrapeme.live/shop/Venusaur/,£105.00
Charmander,https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png,https://scrapeme.live/shop/Charmander/,£48.00
Charmeleon,https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png,https://scrapeme.live/shop/Charmeleon/,£165.00
Charizard,https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png,https://scrapeme.live/shop/Charizard/,£156.00
Squirtle,https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png,https://scrapeme.live/shop/Squirtle/,£130.00
Wartortle,https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png,https://scrapeme.live/shop/Wartortle/,£123.00
Blastoise,https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png,https://scrapeme.live/shop/Blastoise/,£76.00
Caterpie,https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png,https://scrapeme.live/shop/Caterpie/,£73.00
Metapod,https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png,https://scrapeme.live/shop/Metapod/,£148.00
Butterfree,https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png,https://scrapeme.live/shop/Butterfree/,£162.00
Weedle,https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png,https://scrapeme.live/shop/Weedle/,£25.00
Kakuna,https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png,https://scrapeme.live/shop/Kakuna/,£148.00
Beedrill,https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png,https://scrapeme.live/shop/Beedrill/,£168.00
Pidgey,https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png,https://scrapeme.live/shop/Pidgey/,£159.00
